Card Number,Symbol Karty,Poziom Karty,Ingredients no,Card Title,Card Body,Czas przygotowania,Wege,Kcal,Zaznacz,wojtas ,Komentarz,Komentarz wykonanie,Card Back
1,,,3,Ziemniaki z fasolą w pomidorach,"3-4 gotowe ziemniaki, biedronka (250g, 200kcal)
0,5 puszki pomidory krojone (200g, 50kcal)
0,5 puszki fasola czerwona (200g, 150kcal",5-30m,Wege,400,TRUE,FALSE,mostlyspeedfood,,
2,,,3,Jajecznica na bekonie ze szpinakiem,"3x jajko
4x plaster boczek parzony (40g)
1x garść+ szpinak baby",10m,,400,FALSE,FALSE,mostlyspeedfood,,
3,,,3,Jajecznica z fetą i szpinakiem,"3x jajko
2x plaster ser feta (40g)
1x garść+ szpinak baby",10m,"Wege, laktoza",400,TRUE,FALSE,mostlyspeedfood,laktoza,Basia
4,,,4,Chili sin carne minimal,"1x papryka czerwona
0,5 puszki krojone pomidory (200g, 50kcal)
0,5 puszki fasola czerwona (200g)
100g ryż",25m,Wege,600,FALSE,FALSE,mostlyspeedfood,,Asia L
5,,,5,Chili con carne minimal,"0,5 papryka czerwona
0,5 puszki fasola czerwona (200g)
0,5 puszki pomidory krojone
100g wołowe mielone
50g ryż",30m,,650,FALSE,FALSE,mostlyspeedfood,,Angol
6,"trefl, żołądź, koniczyna",,2,Daktyle z orzechami,"50g daktyle
25g orzechy",0m,Wege,300,TRUE,FALSE,mostlyspeedfood,,Kazik
7,"trefl, żołądź, koniczyna",,2,Jabłko z masłem orzechowym,"1x jabłko
1x łyżka masło orzechowe (20g)",2m,Wege,200,TRUE,FALSE,mostlyspeedfood,,Tomasz dieta refluks
8,"Pik, grot",,5,Sałatka kurczak z fetą i oliwkami,"100g pomidor koktajlowy
100g pierś kurczaka
dowolnie mix sałat z sałatą lodową
3x łyżka oliwki zielone (60g)
2x plaster ser typu feta (40g)",15m,Laktoza,300,FALSE,FALSE,mostlyspeedfood,laktoza,Alien dieta bez laktozy
9,"trefl, żołądź, koniczyna",,5,Mocno orzechowe curry,"(2 porcje)
500g gotowane ziemniaki
200g ciecierzyca konserwowa
1x mały jogurt naturalny (180g)
2x łyżka masło orzechowe (40g)
1x łyżka olej (10g)",30-45m,"Wege, laktoza",500,TRUE,FALSE,mostlyspeedfood,laktoza,
10,"Kier, serce",,3,Makaron ze szpinakiem i fetą,"1/2 opak. szpinak mrożony (225g)
1/2 ser feta (75g)
100g makaron razowy",15m,"Wege, laktoza",600,TRUE,FALSE,mostlyspeedfood,laktoza,
